Ship_1_start,Ship_1_unload,Ship_1_load,Ship_2_start,Ship_2_unload,Ship_2_load,Ship_3_start,Ship_3_unload,Ship_3_load,Ship_4_start,Ship_4_unload,Ship_4_load,Ship_5_start,Ship_5_unload,Ship_5_load,Ship_6_start,Ship_6_unload,Ship_6_load,Ship_7_start,Ship_7_unload,Ship_7_load,Ship_8_start,Ship_8_unload,Ship_8_load,Ship_9_start,Ship_9_unload,Ship_9_load,Ship_10_start,Ship_10_unload,Ship_10_load,Ship_11_start,Ship_11_unload,Ship_11_load,Ship_12_start,Ship_12_unload,Ship_12_load,Ship_13_start,Ship_13_unload,Ship_13_load,Ship_14_start,Ship_14_unload,Ship_14_load,Ship_15_start,Ship_15_unload,Ship_15_load,Ship_16_start,Ship_16_unload,Ship_16_load,Ship_17_start,Ship_17_unload,Ship_17_load,Ship_18_start,Ship_18_unload,Ship_18_load,Ship_19_start,Ship_19_unload,Ship_19_load,Ship_20_start,Ship_20_unload,Ship_20_load,Ship_21_start,Ship_21_unload,Ship_21_load,Ship_22_start,Ship_22_unload,Ship_22_load
2600,1787,5895,4783,2403,649,4900,3224,3817,2692,403,2638,3216,1567,4638,4565,4344,1059,3357,954,469,6645,1319,1425,6031,3409,4171,6212,3638,2234,6866,4975,1925,2807,1190,1433,5852,4262,1945,10934,6836,6619,10375,1358,2388,5917,3158,8973,2730,258,6033,11187,7631,2209,5978,1378,2820,11627,11462,9632,8466,2102,1144,4718,2492,6814
6708,1265,328,3029,1860,2197,5493,5053,1900,4927,1607,1215,6287,1566,2408,1280,1216,402,2872,1266,1571,6751,5006,3664,6793,210,185,4808,1298,3160,3816,1364,1321,3050,1334,323,3535,411,996,10717,676,711,11405,3531,684,11732,2863,1891,8505,7129,2818,5765,774,4556,7420,4294,831,9797,3883,5361,7508,835,3395,9040,2552,1945
5771,5504,2513,3366,699,3691,2340,523,4766,4535,3021,3275,7129,184,249,466,159,3548,3177,1768,4923,5409,1308,2332,6768,1177,394,6670,1874,1226,3773,3047,5505,2039,1619,3612,4120,1198,1616,10752,2602,2168,8558,2763,1903,10760,8169,1944,4194,773,4958,9547,2903,133,3957,2043,6638,11275,3789,1898,10068,7074,1277,8433,4395,2060
2780,2300,2433,6358,2179,966,6583,1240,1264,4789,1673,4021,7194,1557,18,3855,2704,5830,6332,741,839,6433,4201,2478,5985,3999,581,6022,1519,1904,6231,2647,2067,4032,295,1786,4538,4460,2540,10318,1570,3115,7698,3693,5219,4535,199,1158,8379,4342,2737,6777,1042,3613,8552,7663,4954,9384,1906,4055,4271,3930,5747,6098,3053,2038
2913,945,2936,5145,2084,2190,6607,4703,4317,7137,755,105,5655,75,1318,6981,5846,2840,6430,3065,3415,4710,3688,3665,2567,1586,1233,6407,1461,984,5651,1469,2656,5523,2722,1695,2618,1855,6191,11863,2353,2246,9224,3995,6035,5494,3508,6093,6774,3093,2637,9348,4233,4694,5843,3000,6479,11533,8758,7091,6088,5630,10687,5083,46,5790
4904,1892,3889,5251,1846,2760,6221,4897,1880,6487,1267,1971,6898,4907,2817,3975,1821,5009,6780,2624,2913,4687,30,1909,2214,1379,3720,5930,5472,443,6838,1945,93,4496,2125,1091,6954,6581,2218,11756,2987,2013,11264,2986,2743,8079,6306,2608,6318,1982,4347,9809,2052,1417,9322,4530,6416,9866,6575,7772,11145,922,781,10827,9228,6871
6901,2127,1331,6165,1106,307,3204,951,3589,7191,5318,2475,4808,755,1500,7163,1375,854,7069,2275,1873,6566,4452,3943,4555,329,226,901,244,1214,4986,3803,3506,3462,938,843,2591,2120,4049,10782,667,1862,11021,10177,10188,4381,3059,2150,8683,3162,1819,9174,325,2820,11208,1080,148,11063,8364,8812,11004,8259,7868,8470,8135,4768
6105,5227,1570,5366,2656,3213,5842,5142,5315,4348,1628,4230,5553,5097,1749,6642,1576,142,6667,5436,5551,6057,4233,1588,4452,2451,2290,1871,1762,3853,4689,2350,1122,3367,2207,3203,4520,2627,1035,11977,4051,625,11032,1261,1524,3472,2596,3811,7340,2988,871,11669,10107,7176,10276,920,84,11511,6061,5030,10613,9250,686,5103,3200,5555
2448,435,1403,5923,5204,1604,6015,2483,2629,6950,3374,1007,2205,1813,4819,5208,5125,2541,6782,1660,1354,3412,1153,3943,4291,2084,3977,3962,1511,4172,3461,2393,3007,4363,1296,3745,2928,2035,4294,8551,1063,1088,11295,2363,2620,4687,3562,810,5223,2954,6445,8738,8077,10552,9440,3456,1713,10480,5382,206,2049,858,10659,7458,1870,1402
3416,2516,1040,2323,1073,2027,6161,3566,1120,4583,4208,3133,5211,3100,1559,2624,22,523,6476,6051,5187,6202,4854,5783,6184,4964,1859,6623,5473,1310,4075,1011,440,6812,4083,2796,5187,2764,1669,8576,6416,6509,11552,9213,1056,1935,1100,5095,8714,6230,2967,11213,9438,6937,7697,1431,2681,5304,1846,5861,11850,8768,612,6990,1516,6216
1940,895,5236,3277,1399,3752,3715,3202,5860,3508,449,151,3670,2038,150,3125,2559,5693,5612,467,1644,7131,513,167,3079,2931,781,2460,542,2750,3504,2651,1559,5525,2093,991,4092,777,3078,8669,4035,3623,3395,94,593,5930,573,4152,5451,1780,7815,8712,5399,2259,8947,2699,4077,9319,7844,9517,3694,2745,10191,11690,3897,941
6281,3463,892,5630,3779,520,6373,5407,6082,3210,1437,5415,1782,148,1168,6259,3695,4369,6789,1892,2276,6785,1146,510,929,228,2009,4668,1344,348,2412,1088,5112,4423,2510,778,6393,1983,962,8257,67,2790,3894,1053,6105,9509,5944,1892,11486,3916,4211,5572,2554,231,10325,1039,1145,10992,1292,2130,11140,10674,8461,8734,6494,4017
3710,1506,2739,2371,1908,5064,7048,1714,1138,7188,3578,1988,2802,158,604,6933,6409,6293,7173,451,428,6149,884,206,2710,1939,3201,3672,806,4287,6436,5729,4336,2691,42,4500,5372,1668,1421,10980,2501,529,8946,2684,5103,5457,4744,10502,11781,11404,4957,3249,1063,1031,10431,7321,298,11830,1473,562,8927,8214,1265,6257,2144,3366
4943,3793,2773,5527,1006,517,6472,3805,1129,5598,5090,4399,3248,2436,5053,6817,2534,2184,7150,6066,4598,5471,2664,4079,3972,2591,5265,7153,7125,4712,5043,2366,1386,7149,1625,1593,5125,1836,3209,9008,7450,5154,11365,1178,191,11215,7720,4064,5334,3649,6473,3217,961,6377,3408,1267,5281,10919,8788,8741,1978,1443,4605,7479,5479,9015
3923,2422,4497,5038,159,2161,3796,440,1799,4907,1043,568,5865,3935,3511,6467,1136,1374,5682,3777,994,6886,2245,573,6646,6568,2030,4740,697,406,4063,2507,4784,7117,2306,1383,6498,1121,646,6712,5624,7160,10378,4844,647,7559,2023,4644,8158,6142,884,8633,8592,6444,7422,3038,3484,10872,10337,571,5140,2145,3660,11015,4816,3782
5998,5489,4435,7040,1763,935,5155,583,859,4432,1784,1380,5441,4196,5607,6705,2462,538,2899,1284,1511,5214,2320,662,2108,1653,2920,4449,1928,3424,6340,5977,6671,6194,3677,1300,6023,63,593,8248,126,3516,6181,5866,3636,10180,7177,7140,2900,700,4852,6485,2557,2452,7868,6305,915,1106,483,7243,6655,1848,0,9981,652,1492
4944,2402,1166,6212,3467,526,5431,1584,3133,4028,1883,1379,6852,181,151,4781,1007,594,3126,729,4534,3556,3497,4488,3375,2188,4245,5945,52,121,7034,737,248,3817,1904,3925,6553,5478,4314,11638,8385,5876,3951,744,6908,10143,7975,1539,7052,202,4958,6380,2111,1740,2478,1571,9838,7866,5172,5621,4807,4128,9442,10821,310,1097
3708,744,1419,3271,819,2394,6980,6439,1458,3524,2046,154,6822,3296,3473,4368,1140,1284,6931,4996,4071,4547,4400,3767,5432,2316,3428,6014,1162,459,6545,6303,1849,5838,4790,3864,5389,2664,619,9129,3353,3040,10115,376,832,3707,1217,8191,11808,10820,6694,6009,291,6264,10745,9790,7829,8315,7439,3633,10121,3384,3125,11608,1973,2325
4383,3084,2833,4846,850,2677,1999,389,1619,1632,90,1797,6999,4303,4349,4512,1648,1420,6006,2112,1689,3914,1172,1532,6544,4788,844,5311,41,638,2091,1067,3564,4912,670,58,3344,1336,3211,8816,6666,9415,10571,5697,4656,10681,5086,3830,7682,6273,8100,11982,6355,1249,8784,2966,758,4509,3539,11009,9862,1431,1486,11960,3390,3006
4132,440,2878,6673,43,416,3229,711,826,3339,908,2539,7045,5431,2998,4284,2177,4678,5583,1328,1262,4274,1381,4266,2600,1953,4498,5908,323,616,4588,2353,2327,4300,3188,243,5219,524,2213,11565,980,732,9530,1396,3863,9425,4255,591,9509,8864,3561,6876,355,4363,6576,4162,7530,11979,8493,732,9917,2086,2326,11576,4345,2751
6570,4477,3403,7046,2231,738,3344,2286,1559,4970,1761,3827,4612,3756,3360,6785,2014,79,5517,1384,1107,7159,3403,2530,5145,4091,428,6201,2769,1166,4562,4256,5866,1355,64,1616,6908,3939,1101,11317,10317,5990,11997,11369,5831,5761,3039,5296,4206,2982,9803,10884,767,237,9944,9594,2920,4218,2672,4167,10157,3121,4196,9982,5485,7482
5496,5462,6011,5553,5421,2047,2617,1935,2339,7036,5797,4426,4216,1841,2650,4850,4039,6257,5240,5027,2849,6286,6024,3476,1482,1430,2913,4598,4046,4002,6172,461,1200,2907,2523,5280,4070,414,1552,6990,4542,2296,6459,4360,4772,8018,7841,8087,11027,1124,1122,10354,4703,965,3270,508,2908,5713,4045,5853,11232,2366,2759,11979,10288,5918
6045,5770,560,2179,879,2918,3021,316,3582,5665,907,1768,5025,447,1801,7068,5729,1426,3062,2110,1956,3738,245,875,2965,2142,1310,4554,1470,379,6911,5285,34,5664,4483,1291,5208,973,1006,4744,2770,592,6871,4401,3853,8264,7834,6244,11025,5651,1508,6616,2636,390,5670,1143,3515,7521,1939,4248,11625,2026,1116,7609,5006,1062
835,789,5195,4218,549,72,6287,4514,5033,6526,725,718,6379,1264,1798,2765,2147,3358,2908,1860,445,4368,428,935,2133,268,5155,3463,680,146,1660,797,6301,2472,775,1714,5241,4238,672,2566,1212,9845,6323,446,3283,6674,3837,8835,6882,3763,7931,4370,2552,1510,8042,1086,3447,9830,7959,3842,10715,1816,2453,3665,1736,5745
5241,4110,1661,3741,1558,2677,6806,2885,546,6519,2899,419,6913,5247,504,3976,3087,3127,1493,169,3820,4875,4251,2226,7020,4405,3049,2929,1298,4016,7164,6681,4633,3411,311,2815,1675,62,1509,11199,6806,3328,9160,6156,7383,11672,8571,4627,11050,5054,3044,3328,2086,7927,10403,3697,4735,5713,3844,5506,11352,10807,6180,7674,660,2261
2792,1289,1947,4860,1658,3151,4467,622,867,4039,2897,4522,2170,1398,4709,4016,3812,5748,5144,3498,308,2850,1956,6200,5664,1511,1835,5647,2723,507,5116,24,1855,5915,381,630,3122,382,3259,7721,4231,2228,10387,5344,1508,7728,7324,4585,9040,2207,852,9169,2493,4648,11441,1162,736,7375,7275,5419,6725,4224,3144,9275,6208,8081
3450,1265,1741,6353,4396,702,4712,2393,2127,5664,1149,1537,5481,2227,2368,5952,5510,398,1954,197,1004,7094,1828,1270,5988,3800,433,3431,3345,6316,6947,1889,526,6164,3108,531,5999,2623,1752,5718,963,2374,6551,442,95,4989,4484,3180,7685,1417,2807,11324,10894,9181,11015,4453,3056,5519,2917,5552,5645,3449,7633,11148,4382,4244
3926,282,72,2659,1734,2428,4446,407,822,6052,5478,6566,5622,2073,1724,840,163,2782,2761,1403,3088,6536,1080,1589,2621,571,1398,6402,5055,2784,5584,2533,1556,3587,3421,3386,5128,3683,4327,7129,2087,6688,6204,4553,8900,3685,3451,10306,9075,8456,5852,9611,4168,3005,9618,8694,3959,8154,431,3065,9829,290,715,11010,7473,718
3716,610,2634,3353,124,276,4861,1025,843,7140,1830,1465,5273,3725,1313,3459,388,1903,4446,4389,4135,7045,334,7,3448,2466,4233,4131,1064,1404,4607,912,1613,3552,2797,4848,5772,1818,2508,11730,3239,2033,10551,3039,293,10540,1215,1947,6471,5222,6059,8448,3948,5775,4883,766,5422,10788,9232,6249,10254,6824,6006,4255,2752,10031
5740,307,121,3505,2877,144,4679,4159,2279,6775,4611,4399,2861,2745,3948,4974,2187,285,4192,3909,5652,6718,4907,4357,5215,2683,3129,4471,148,1294,5308,2977,1970,5603,3700,2132,6462,4517,3008,10524,2067,126,7805,3355,5817,11272,340,356,7308,7111,7274,10275,151,975,9539,7471,8402,7805,7573,2700,9436,6893,6443,11534,9652,5997
5554,5039,6662,772,486,4371,2799,1485,2743,6563,3053,2931,4064,2511,2409,3072,2160,2655,5935,4465,2612,6168,4278,2250,5661,5395,3123,5617,1612,3081,4301,1301,241,4035,3013,1517,4953,2609,799,8583,7813,4482,10267,1339,1222,11288,5279,4702,7471,844,2145,11099,10108,2597,10470,8794,4582,2932,1467,74,8986,7787,4243,7879,527,4516
7177,6223,2901,4657,1186,3556,4057,1675,457,6441,322,852,3962,2709,707,3567,2162,5106,4082,3956,2232,4140,1331,1101,3389,2348,1667,7086,2073,1945,3241,340,2929,2539,71,20,3143,1937,5088,5252,2658,8024,10150,1815,2391,10711,7314,3526,8772,5315,3933,3588,1344,1149,6258,5236,4776,1539,1219,7113,5442,3356,3752,11868,4322,1446
3855,415,1525,7027,4115,2176,2839,1122,4927,6971,5700,2325,1960,462,2604,6511,701,273,2358,1978,5724,3910,402,1231,2708,591,461,6958,4781,3290,5830,646,1002,2488,399,2023,6294,3859,3074,10618,1206,297,10726,3118,2398,6923,2844,3301,7390,578,4490,3393,828,6248,5798,3772,7963,7433,7235,9515,5838,4047,3611,8992,6990,5952
4965,3571,3917,5088,608,1610,6644,3936,2386,3596,899,1028,4102,3604,5255,6083,4119,3838,6104,4253,4062,4739,2450,48,2578,1878,4350,5467,4975,4210,6186,2356,1998,4112,900,1366,5509,3090,577,9709,9704,4276,10006,606,208,7380,195,905,11302,5061,2000,8813,3316,4361,9989,1642,599,9713,8257,889,5402,1665,7584,7954,5183,1409
5311,3774,2625,6090,900,1675,5094,967,1515,3725,1805,1421,5753,618,309,5802,1911,2947,5913,284,1509,2337,1384,6082,5050,1397,3069,4702,43,1103,5828,959,787,4578,2570,586,2996,1202,4073,4281,763,1763,9608,3524,5482,8090,4938,5487,8241,6482,7589,9858,7140,3261,8946,1345,2423,2345,468,3895,11321,10014,3720,4180,2328,1229
4162,1148,342,6865,3464,1537,5642,3476,1229,3341,1781,2355,5444,3046,3283,6838,4867,2782,7138,4799,1685,7035,6318,4040,6722,1513,942,5762,2121,1582,5656,2575,2733,2594,236,3205,5867,3049,2230,5281,2117,6502,11566,8350,2654,8639,4029,958,9348,6352,740,5979,1135,4374,10024,4070,1376,5772,3919,5581,5027,4840,3731,3081,1976,5572
3356,1077,4068,4938,2281,1846,3395,3169,3675,3915,3567,6846,5681,2761,3876,4753,855,1092,4024,2527,990,4757,4696,7044,6151,1854,2154,5223,4878,1926,5814,403,1187,5563,1477,942,5048,1883,2945,9666,6910,1216,5870,5699,7879,5568,102,4652,3736,3299,8840,9218,8815,7378,7330,5894,10397,7434,2680,1140,3918,2729,4203,6677,4461,815
6347,5882,2690,4503,2899,2009,3901,1324,7,7194,3379,1050,6796,5168,2260,4990,3071,1779,2487,2035,366,7105,4732,2273,6451,5031,5692,2271,589,1167,6598,2083,480,5028,903,1743,6110,3956,4345,3972,2253,5138,8050,1353,5287,10118,4026,4613,9277,3734,5244,7781,7362,7772,11833,9966,224,5894,4740,10580,5392,103,5574,3031,2594,3565
3155,2381,3489,3613,1857,2835,2584,119,1263,4865,3622,618,3888,2694,2447,3698,538,2297,818,711,5490,4646,4480,6180,7112,2656,1684,2849,1007,3418,4995,1170,1007,5868,2217,2600,6499,6481,848,6857,6778,157,11984,5259,4345,10705,1108,249,10787,7747,4148,8191,226,3002,2091,258,1415,11734,10499,2875,10863,10835,10883,4002,1631,2643
4263,3279,2203,4591,1520,2965,3728,245,1318,1861,1467,4412,3641,1164,94,5457,5357,6418,5597,1139,1521,6346,97,887,6140,3510,1799,5260,2375,1070,4832,514,1571,6251,2907,871,866,607,1130,236,204,3388,11070,9813,8468,9846,6283,546,7188,5943,9288,10967,5506,5878,3248,3242,715,4110,3516,1921,10911,10854,8016,5014,79,1811
3187,2786,3193,6036,5903,5285,4801,4541,1845,4806,778,3095,2571,1150,3640,6518,2296,746,5979,4845,2076,7136,6593,2667,4429,2251,1326,3955,3233,4962,5889,2124,951,4215,177,3017,1389,949,772,3420,2896,3358,9725,7761,1555,4109,225,7775,10533,10362,5038,11339,8602,5457,721,441,3149,2515,762,9171,8073,374,1102,6746,6606,3627
3594,2009,1294,5418,190,1053,2105,532,1673,7123,1850,266,5061,4786,2690,4968,1925,2023,3210,2543,623,3210,2896,4188,3504,2659,2377,5684,414,71,4716,1769,3927,7055,5716,925,1212,599,224,3882,3100,2440,3519,1087,2759,11659,3683,3638,5209,3673,6902,8194,7877,3491,3429,2226,1592,10924,511,987,8801,6067,6295,3767,443,729
2879,1034,4195,6281,4221,61,3246,1678,1488,5539,1916,1001,2965,2375,1279,5066,974,2061,1290,305,3360,4502,2410,2843,3222,317,984,5341,4688,2756,6874,3722,402,2264,874,2357,837,327,6476,3222,683,2145,5191,4837,1980,11614,9324,4668,8438,7316,3383,3808,1760,8670,2795,92,1468,11400,7255,1069,9029,2351,4457,4053,1626,7878
6040,548,949,2121,84,3683,3056,242,1798,4624,1015,1654,1869,118,4597,6153,5909,2174,4345,559,982,4935,4141,1397,3889,612,2928,3409,2419,5891,3554,1938,1078,3747,2309,4260,6986,5021,3345,4684,1719,2184,2334,914,5248,6958,5500,3890,4505,3375,8352,10718,4865,4808,4171,1127,300,5214,1439,1567,11135,3346,1748,10305,2481,665
6441,629,107,5720,3665,5129,4612,1359,2059,5263,774,1674,6348,1779,2523,2418,2017,1586,4768,4409,3428,2191,251,394,6205,244,155,6881,3039,1470,2694,2039,1126,5698,1302,751,5310,3153,437,5149,4466,5165,6668,1566,4547,5348,1263,7726,9482,7288,6624,10661,5649,6247,3344,3123,6141,5342,4866,193,9537,1623,2121,8489,8234,8255
5919,4499,4463,7184,6780,1953,5312,3099,2435,6163,2520,602,7092,3247,1398,1987,1780,6884,3787,3780,476,2334,866,2557,6116,5226,2458,5312,2558,2660,1781,1622,5344,5147,4483,3965,2594,19,274,5848,306,4669,9649,812,2660,11811,1784,1452,8818,6243,8589,11259,6021,684,6362,4746,2261,669,531,1244,10035,2390,2731,8510,5678,810
5883,2334,885,2357,1925,6121,4648,1827,2416,4245,3592,65,5243,3757,3911,7091,4056,1738,483,32,1152,4025,1643,828,3348,2546,4657,5414,1278,2765,5503,2217,1443,4629,745,2163,2849,2771,3371,10211,4555,3439,11497,2003,2486,11479,4479,4130,11164,6614,1513,5922,1242,3874,3877,1732,8406,1382,1382,1522,10376,647,1248,3642,1717,6293
4434,4007,3121,6553,4898,2607,5237,3763,2619,718,412,1374,5397,4227,1916,4773,1602,101,1603,127,508,3210,1308,1640,5459,423,1643,6901,3910,2939,4729,3360,2982,6047,2193,1634,3449,3068,4294,9095,8726,5029,11980,70,77,11130,3845,1223,6063,5095,2748,8554,2050,4674,10551,7339,79,1522,66,2480,10977,4981,4408,8218,6541,5103
3548,361,56,4262,1938,4536,4093,2050,4876,1680,1516,3050,3086,1852,966,3272,3250,6898,1984,1111,4992,3542,1689,3400,6679,2208,2100,5930,5132,4224,4351,691,188,5488,5132,2988,4675,1608,4056,5398,388,4180,11987,11261,6092,8508,508,1142,3716,285,6703,11178,2291,380,3291,3188,6932,3936,1393,1697,10404,2051,3182,6780,3661,4503
3243,2722,3586,6860,126,155,6919,3770,1275,3214,2024,4815,2200,304,24,6920,5572,4239,5865,5626,1384,5253,5180,878,6571,226,224,5022,2971,706,3848,1257,3280,3344,918,1766,7123,3259,399,9190,1931,3624,6818,2634,911,9142,7021,3207,10134,7236,3308,9267,2690,4146,7035,1325,1265,4240,814,6264,11535,352,793,7622,7416,9127
4107,1916,650,6889,6330,5883,4424,2121,304,6005,946,517,1920,1295,2391,5587,5483,1790,1623,454,2510,951,555,2451,6569,4462,2414,2757,21,1321,5871,4208,4544,4192,2963,1845,4263,1717,2301,10883,6805,306,5095,3812,8802,5328,2543,9131,6206,539,5580,10723,342,1188,6975,2732,2054,9690,6345,323,11976,1119,240,9333,4616,3550
2841,333,1508,6442,5518,3125,2607,751,5074,5576,226,1823,3016,84,424,1894,1015,979,3679,1105,2192,2847,65,3755,4521,156,1941,4057,1815,3321,6207,3113,124,3074,1754,5407,4847,1598,2899,4384,740,6965,10085,4627,1262,11916,8345,5218,11247,5315,5914,11569,3883,2659,6297,2740,4927,3668,3232,2386,11097,6438,6571,8267,5414,2250
4016,182,294,4049,66,1690,6930,5968,1874,7173,4649,112,3356,2235,5690,1858,200,3269,4766,198,1682,6537,1351,1094,6306,3181,231,5563,3843,935,3218,2915,6083,6727,1800,86,6148,947,772,10609,253,475,6720,1963,2163,8789,6578,4340,11846,5476,3815,10345,8936,3651,8484,6547,6901,2822,1677,6154,11230,7582,7381,5103,63,1297
4128,3182,1416,5673,5489,193,2836,1096,3719,2636,414,4764,6811,2102,1100,4927,4852,4769,6250,222,92,6280,5576,1671,3356,480,1820,2655,2619,840,6386,6249,2647,5013,2856,1557,5973,2029,1990,10831,4268,767,6920,4049,3987,6551,3397,1765,10185,8014,2778,5060,2040,2911,8838,620,3629,7299,2020,5462,11029,10668,3104,6337,3339,6749
2362,2313,5469,377,238,5493,5459,735,785,6986,4905,4723,5809,3131,4511,4844,2192,4038,6120,494,751,2375,2176,4089,4696,1399,1180,876,476,2610,2784,611,1034,3714,2368,120,5934,3937,2408,7330,3838,4391,6858,2335,3765,4919,3775,645,4949,297,1905,5931,4453,1100,11847,3236,3079,10741,4385,1424,3465,2907,5891,9747,6708,4844
5518,1232,2228,5632,9,660,5509,2518,2947,6804,5930,1158,7189,6448,430,6690,2748,1694,6377,2465,3016,4288,3810,2286,4477,4077,807,3010,729,2303,3207,2763,1034,1466,282,524,4405,2945,5412,7883,2211,2806,8288,2917,1515,1789,87,6380,6557,3346,5182,2578,362,3480,11690,3306,2471,7780,1642,3028,6449,2392,1192,7883,1703,663
6514,4122,862,6283,1114,2023,5938,1443,1568,2032,182,3969,1171,341,5794,5636,3672,717,6928,4737,3475,2764,1178,480,1207,913,368,4584,4555,4094,1478,397,2421,1708,527,2103,6872,5979,4796,8478,3281,3872,6886,2540,593,8082,1315,3784,8393,3359,4915,5696,5399,7348,10855,5795,1275,9166,5277,3125,5249,2257,6046,6843,1410,4426
3254,1248,3433,7192,589,476,6063,2397,422,5819,5274,2311,6624,2736,303,2681,739,2532,5666,357,581,2066,1664,5297,662,241,5593,4123,2587,4255,3502,2896,6472,3284,457,1265,5689,4290,1851,9069,3028,5652,4939,520,968,10551,6203,6111,9949,3425,3346,7645,1371,947,6335,311,3494,7014,1442,4878,9038,2820,2799,9859,1971,3128
